,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,Batagay,67.63,134.63,65.59,85,96,4.03,RU,1594577240
39,Longyearbyen,78.22,15.64,48.2,76,75,5.82,SJ,1594576832
40,Haverfordwest,51.8,-4.97,64.4,68,83,9.17,GB,1594577241
41,Moussoro,13.64,16.49,91.56,41,11,8.77,TD,1594577241
42,Roald,62.58,6.13,53.6,66,40,6.93,NO,1594577241
43,Saskylakh,71.92,114.08,58.8,76,40,15.93,RU,1594576800
44,Tasiilaq,65.61,-37.64,44.6,75,41,11.41,GL,1594576805
45,Sakaiminato,35.55,133.23,69.8,88,90,9.17,JP,1594577241
46,Alexandria,31.22,29.96,78.8,74,40,12.75,EG,1594576783
47,Thompson,55.74,-97.86,69.8,60,75,3.36,CA,1594576791
48,Castleisland,52.23,-9.47,60.8,87,90,8.05,IE,1594577241
49,San Angelo,31.46,-100.44,99.0,46,1,4.7,US,1594577038
50,Fortuna,40.6,-124.16,68.0,68,20,6.93,US,1594576719
51,Rechitsy,55.6,38.46,75.2,73,3,11.18,RU,1594577241
52,Leningradskiy,69.38,178.42,40.19,76,0,8.63,RU,1594576841
53,Krasnovka,48.82,40.09,70.43,78,49,15.12,RU,1594577242
54,Wilmington,34.23,-77.94,89.6,59,40,8.05,US,1594576853
55,Barrow,71.29,-156.79,35.6,94,90,8.05,US,1594576712
56,Neryungri,56.67,124.65,71.53,52,95,0.83,RU,1594577242
57,Jamestown,42.1,-79.24,77.0,64,75,10.29,US,1594576678
58,Lyubech,51.7,30.66,58.21,83,96,13.76,UA,1594577242
59,Mīrābād,30.44,61.84,89.37,16,0,19.06,AF,1594577242
60,Kapaa,22.08,-159.32,78.8,74,75,13.87,US,1594576688
61,Ginir,7.13,40.7,60.35,85,36,9.19,ET,1594577242
62,Ilulissat,69.22,-51.1,48.2,70,40,5.82,GL,1594576820
63,Los Llanos de Aridane,28.66,-17.92,75.2,73,20,13.87,ES,1594577130
64,Gushikawa,26.35,127.87,84.2,88,1,5.82,JP,1594576885
65,Anzio,41.49,12.62,82.99,73,0,5.01,IT,1594577243
66,Sri Aman,1.24,111.46,75.2,100,91,3.36,MY,1594576899
67,Buluang,13.31,123.34,77.2,89,100,3.2,PH,1594577243
68,Tigil',57.8,158.67,54.68,88,100,2.8,RU,1594577017
69,Pevek,69.7,170.31,48.43,78,96,4.92,RU,1594576687
70,Dikson,73.51,80.55,42.55,97,90,7.65,RU,1594576792
71,Bud,39.45,-86.18,80.01,65,40,4.14,US,1594577218
72,Kavaratti,10.57,72.64,82.56,77,86,14.94,IN,1594576887
73,Gao,16.64,1.64,104.5,17,28,4.88,ML,1594577039
74,Berlevåg,70.86,29.09,46.4,87,75,9.17,NO,1594576674
75,Shellbrook,53.22,-106.4,69.8,73,90,6.93,CA,1594577244
76,Mbengwi,6.02,10.0,66.2,92,100,1.95,CM,1594577244
77,Lompoc,34.64,-120.46,73.99,68,0,4.7,US,1594576737
78,Mersing,2.43,103.84,77.0,94,15,3.36,MY,1594577244
79,Yumen,40.28,97.2,74.46,25,86,5.28,CN,1594577244
80,Salinas,36.68,-121.66,77.0,56,1,5.28,US,1594576911
81,Seriate,45.68,9.72,75.99,47,40,8.05,IT,1594577244
82,Kenai,60.55,-151.26,53.6,100,90,10.29,US,1594576741
83,Nieuw Amsterdam,5.88,-55.08,81.0,78,40,8.05,SR,1594577244
84,Derbent,42.07,48.29,77.27,62,46,2.06,RU,1594577244
85,Synya,65.37,58.04,55.9,91,53,7.54,RU,1594577244
86,Faya,18.39,42.45,78.8,22,20,4.7,SA,1594577244
87,Povenets,62.85,34.83,60.64,72,99,2.51,RU,1594577205
88,Qaanaaq,77.48,-69.36,46.15,60,78,2.13,GL,1594576824
89,Aswān,24.09,32.91,94.12,13,17,15.01,EG,1594577245
90,Nanortalik,60.14,-45.24,48.29,85,99,12.24,GL,1594576817
91,Sibolga,1.74,98.78,75.29,82,87,3.53,ID,1594577245
92,Butaritari,3.07,172.79,82.69,79,53,15.7,KI,1594576668
93,La Ronge,55.1,-105.28,73.4,53,75,12.75,CA,1594576983
94,Savonlinna,61.87,28.88,59.0,72,44,8.05,FI,1594577245
95,Senno,59.53,33.92,58.21,88,100,0.78,RU,1594577245
96,Wenling,28.37,121.36,82.0,62,99,12.12,CN,1594577224
97,Saint-Augustin,51.23,-58.65,61.21,96,100,17.72,CA,1594577245
98,Anadyr,64.75,177.48,50.0,81,100,2.24,RU,1594577168
99,Birobidzhan,48.8,132.95,63.52,93,2,1.32,RU,1594577245
100,Lata,40.16,-8.33,90.0,50,0,7.85,PT,1594576814
101,Veere,51.55,3.67,64.99,55,85,10.29,NL,1594577246
102,High Level,58.52,-117.14,59.0,87,75,9.17,CA,1594577246
103,Esim,4.87,-2.24,76.03,83,64,7.67,GH,1594576849
104,Anamur,36.08,32.84,80.6,83,0,3.36,TR,1594577246
105,Deer Lake,49.17,-57.43,69.8,83,90,18.34,CA,1594577246
106,Vardø,70.37,31.11,46.4,87,75,9.17,NO,1594576494
107,Mehamn,71.04,27.85,48.2,87,20,11.41,NO,1594576701
108,Praia da Vitória,38.73,-27.07,73.4,69,20,11.39,PT,1594576825
109,Iwanai,42.97,140.51,58.41,90,17,1.1,JP,1594577246
110,Palmer,42.16,-72.33,86.0,51,75,13.87,US,1594576836
111,Klaksvík,62.23,-6.59,51.8,100,100,6.93,FO,1594576832
112,Fukuechō,32.69,128.84,77.95,92,100,14.34,JP,1594577246
113,Hamilton,39.18,-84.53,82.0,57,75,8.05,US,1594576807
114,Mitú,1.2,-70.17,75.47,91,98,0.63,CO,1594576857
115,Tabas,33.6,56.92,95.0,15,0,2.24,IR,1594576991
116,Raton,36.9,-104.44,84.99,47,1,8.05,US,1594577247
117,Torbay,47.67,-52.73,68.0,64,75,14.99,CA,1594576710
118,Chiang Kham,19.52,100.3,73.99,100,75,3.36,TH,1594577247
119,Awjilah,29.11,21.29,86.49,27,0,19.08,LY,1594577247
120,Kungurtug,50.6,97.52,56.52,84,100,1.32,RU,1594576810
121,Danville,36.59,-79.39,89.01,48,1,3.36,US,1594576969
122,Anju,39.62,125.66,65.89,70,99,5.46,KP,1594577247
123,Provideniya,64.38,-173.3,50.81,65,2,3.36,RU,1594576818
124,Kapoeta,4.77,33.59,75.24,78,98,10.56,SS,1594577247
125,Yellowknife,62.46,-114.35,70.0,55,75,5.82,CA,1594576504
126,Izyum,49.21,37.25,74.82,76,68,14.72,UA,1594577247
127,Kudat,6.88,116.85,77.0,100,20,2.24,MY,1594576918
128,Severo-Kuril'sk,50.68,156.12,49.69,92,100,8.86,RU,1594576806
129,Lindsay,36.2,-119.09,93.99,25,0,6.93,US,1594577248
130,Solnechnyy,50.72,136.63,59.41,85,9,2.39,RU,1594576739
131,Krasnosel'kup,65.7,82.47,52.84,77,62,5.93,RU,1594577248
132,San Cristobal,7.77,-72.22,87.8,48,75,6.93,VE,1594576523
133,Chemodanovka,53.23,45.25,77.0,47,0,6.67,RU,1594577248
134,Saint Paul Harbor,57.79,-152.41,53.6,87,90,4.7,US,1594576787
135,Brigantine,39.41,-74.36,89.6,38,1,11.41,US,1594577248
136,Port-Cartier,50.03,-66.87,69.8,88,90,9.17,CA,1594577248
137,Turochak,52.26,87.12,58.08,89,21,0.85,RU,1594577248
138,Hong Kong,22.29,114.16,82.99,80,26,4.0,HK,1594576684
139,Scottsbluff,41.87,-103.67,91.99,31,1,8.05,US,1594576898
140,Sitrah,26.15,50.62,96.8,60,17,3.36,BH,1594577167
141,Belyy Yar,53.6,91.39,59.0,87,28,0.18,RU,1594576856
142,George Town,5.41,100.34,82.4,88,20,4.7,MY,1594576867
143,Aksu,41.12,80.26,78.66,28,16,15.9,CN,1594577249
144,Ixtapa,20.7,-105.2,87.01,70,75,6.93,MX,1594576755
145,Yerbogachën,61.28,108.01,55.67,81,1,3.29,RU,1594576813
146,Dingle,11.0,122.67,77.49,88,89,2.44,PH,1594576792
147,Petropavlovka,50.61,105.32,59.23,82,2,3.71,RU,1594577249
148,Āsind,25.73,74.33,80.56,72,100,9.82,IN,1594577249
149,Bandarbeyla,9.49,50.81,83.5,63,62,33.29,SO,1594577249
150,Baykit,61.67,96.37,54.36,88,31,2.13,RU,1594576819
151,Inírida,3.87,-67.92,79.32,79,92,3.22,CO,1594577249
152,Guerrero Negro,27.98,-114.06,83.03,36,0,15.19,MX,1594577059
153,Broome,42.25,-75.83,82.99,54,40,8.05,US,1594576678
154,Margate,51.38,1.39,68.0,43,63,4.0,GB,1594576855
155,Jumla,29.27,82.18,59.61,71,77,1.34,NP,1594577201
156,Beringovskiy,63.05,179.32,49.12,86,94,7.99,RU,1594576731
157,Sabha,27.04,14.43,90.59,12,0,3.87,LY,1594577250
158,Mbandaka,0.05,18.26,74.25,85,94,3.15,CD,1594577095
159,Ostrovnoy,68.05,39.51,49.8,88,90,11.92,RU,1594576797
160,Dzhebariki-Khaya,62.22,135.8,62.35,79,38,2.98,RU,1594577250
161,Bonavista,48.65,-53.11,66.0,75,56,8.99,CA,1594576703
162,Olafsvik,64.89,-23.71,52.02,76,77,8.9,IS,1594576849
163,Qasigiannguit,68.82,-51.19,48.2,70,74,5.82,GL,1594577251
164,Mound,44.94,-93.67,81.0,55,0,5.01,US,1594577251
165,Sarichioi,44.95,28.85,81.0,44,70,21.92,RO,1594577251
166,Klyuchevskiy,53.53,119.45,62.67,74,24,3.51,RU,1594577251
167,Arlit,18.74,7.39,103.3,12,39,4.97,NE,1594577251
168,Zafra,38.42,-6.42,96.01,24,6,5.01,ES,1594577251
169,Kinablangan,7.69,126.55,78.1,79,98,5.3,PH,1594577251
170,Gejiu,23.31,103.16,58.33,100,100,4.36,CN,1594577252
171,Bilma,18.69,12.92,94.24,23,32,3.89,NE,1594577252
172,Olean,42.08,-78.43,78.8,60,75,4.7,US,1594577100
173,Debar,41.52,20.53,69.8,83,20,3.47,MK,1594577252
174,Wajima,37.4,136.9,67.91,81,100,5.77,JP,1594577252
175,College,64.86,-147.8,61.0,62,75,4.7,US,1594576881
176,Tabuk,17.42,121.44,75.13,88,100,3.47,PH,1594577252
177,Novy Urengoy,66.08,76.63,61.36,59,63,8.16,RU,1594577252
178,Xingyi,24.19,102.82,63.18,99,100,3.4,CN,1594577252
179,Mandera,3.94,41.87,85.8,47,66,13.4,KE,1594577252
180,Manbij,36.53,37.95,84.2,51,0,12.75,SY,1594577252
181,Morecambe,54.07,-2.86,64.0,63,20,8.05,GB,1594577253
182,Umluj,25.02,37.27,83.59,72,23,4.63,SA,1594576984
183,Oodweyne,9.41,45.06,79.57,42,55,18.23,SO,1594577044
184,Mindelo,16.89,-24.98,80.6,61,75,17.22,CV,1594577253
185,Ternate,0.8,127.4,80.55,76,100,2.59,ID,1594577253
186,Merrill,45.18,-89.68,73.4,60,75,11.41,US,1594577253
187,Batticaloa,7.71,81.69,83.59,78,93,5.68,LK,1594576894
188,Nerchinskiy Zavod,51.31,119.61,61.75,50,51,1.86,RU,1594577253
189,Sūsangerd,31.56,48.18,104.0,14,0,6.93,IR,1594577253
190,Anloga,5.79,0.9,78.8,78,20,11.41,GH,1594577253
191,Sakakah,29.97,40.21,100.4,10,3,16.11,SA,1594576865
192,Bilibino,68.05,166.44,57.96,87,100,2.64,RU,1594577074
193,Fairfield,41.27,-73.32,88.0,57,75,9.17,US,1594576969
194,Baní,18.28,-70.33,93.0,55,75,11.41,DO,1594577053
195,Monywa,22.12,95.13,80.83,83,100,5.03,MM,1594577253
196,Sitka,57.05,-135.33,55.4,87,75,2.93,US,1594576813
197,Bahía Honda,22.9,-83.16,85.21,68,89,5.03,CU,1594577254
198,‘Āhuimanu,21.44,-157.84,80.01,61,20,13.87,US,1594577184
199,Bulgan,48.81,103.53,57.56,87,80,1.68,MN,1594577254
200,Mezen',65.85,44.24,52.23,79,69,8.48,RU,1594577254
201,Dwārka,22.24,68.97,84.2,81,36,18.39,IN,1594577002
202,Ippy,6.27,21.22,72.46,91,58,2.68,CF,1594577254
203,Kéfalos,36.75,26.96,78.8,65,0,13.87,GR,1594577254
204,Hof,50.32,11.92,64.99,48,37,6.93,DE,1594577254
205,Shuangyang,43.52,125.67,66.2,88,100,2.24,CN,1594577254
206,Wiwilí,13.63,-85.83,75.2,73,40,18.34,NI,1594577254
207,Paamiut,61.99,-49.67,44.8,80,100,10.65,GL,1594577254
208,Tateyama,34.98,139.87,70.0,91,100,3.0,JP,1594577254
209,Portobelo,9.55,-79.65,87.01,74,86,5.01,PA,1594577254
210,Mount Vernon,40.91,-73.84,91.0,40,75,8.05,US,1594577254
211,Ketchikan,55.34,-131.65,55.4,87,90,5.82,US,1594577255
212,The Valley,18.22,-63.06,87.8,66,40,17.22,AI,1594576885
213,Callaway,30.15,-85.57,93.2,46,75,12.75,US,1594577255
214,Saint Anthony,45.02,-93.22,81.0,42,1,11.41,US,1594576578
215,Yilan,24.76,121.75,86.0,74,20,4.7,TW,1594577255
216,Ridgecrest,35.62,-117.67,102.99,11,1,4.7,US,1594577042
217,Le Mars,42.79,-96.17,81.0,54,1,3.65,US,1594577255
218,Kashirskoye,51.42,39.61,77.0,38,0,4.47,RU,1594577255
219,Havøysund,71.0,24.66,55.4,62,20,11.41,NO,1594577256
220,Yangi Marg`ilon,40.43,71.72,80.6,42,100,2.24,UZ,1594576830
221,Turbat,26.0,63.04,82.96,75,13,6.29,PK,1594576789
222,Yantongshan,43.29,126.01,65.35,81,100,2.26,CN,1594577256
223,Verkhnyaya Toyma,62.23,45.0,59.49,77,48,3.94,RU,1594577256
224,El Campo,29.2,-96.27,91.0,58,75,3.18,US,1594576995
225,Oistins,13.07,-59.53,80.6,88,90,18.34,BB,1594577188
226,Ucluelet,48.93,-125.55,61.0,93,75,5.82,CA,1594577043
227,San Quintín,30.48,-115.95,77.7,57,0,11.52,MX,1594576784
228,Durrës,41.32,19.44,78.8,69,0,3.36,AL,1594577256
229,Sørland,67.67,12.69,53.6,76,40,8.05,NO,1594577256
230,Katangli,51.71,143.23,45.88,97,6,2.24,RU,1594577256
231,Brae,60.4,-1.35,55.4,82,75,9.17,GB,1594577256
232,Susanville,40.42,-120.65,84.0,14,1,5.82,US,1594577256
233,Kloulklubed,7.04,134.26,77.0,94,75,3.36,PW,1594576610
234,Benghazi,32.12,20.07,77.59,74,0,14.7,LY,1594577165
235,Sovetskiy,61.36,63.58,72.72,55,46,10.56,RU,1594577256
236,Rawlins,41.79,-107.24,88.0,11,1,13.87,US,1594577256
237,Northam,51.03,-4.22,66.0,74,95,8.01,GB,1594576826
238,Kozan,37.46,35.82,82.4,83,40,9.17,TR,1594577257
239,Bathsheba,13.22,-59.52,80.6,88,90,18.34,BB,1594576886
240,Jinchang,38.5,102.17,71.31,47,0,6.17,CN,1594577257
241,Kyshtovka,56.55,76.63,61.2,70,26,6.73,RU,1594577257
242,Davila,18.47,120.58,83.44,73,100,6.51,PH,1594577257
243,Linxia Chengguanzhen,35.6,103.21,58.48,74,0,2.68,CN,1594577257
244,Blairmore,49.6,-114.44,64.4,45,1,27.51,CA,1594577257
245,Laas,46.62,10.7,66.2,42,5,4.7,IT,1594577257
246,Gwadar,25.12,62.33,83.57,82,56,6.51,PK,1594577258
247,Ta Khmau,11.48,104.95,82.4,88,40,2.24,KH,1594577258
248,Takoradze,4.88,-1.76,75.79,84,65,9.31,GH,1594576692
249,Saint George,37.1,-113.58,100.0,18,1,3.11,US,1594576631
250,Talnakh,69.49,88.4,55.4,87,62,8.95,RU,1594576890
251,Ardakān,32.31,54.02,91.4,22,40,2.24,IR,1594577258
252,Chapais,49.78,-74.85,64.4,88,90,11.41,CA,1594577258
253,Khandyga,62.67,135.6,63.79,81,72,4.85,RU,1594577258
254,Shingū,33.73,135.98,71.76,76,100,5.28,JP,1594576837
255,Cabo Rojo,18.09,-67.15,91.99,62,66,5.01,PR,1594577258
256,Cayenne,4.93,-52.33,86.0,74,19,11.41,GF,1594576644
257,Vestmannaeyjar,63.44,-20.27,50.0,100,90,10.29,IS,1594576852
258,Nara,34.69,135.8,70.0,64,100,2.42,JP,1594577258
259,Hibbing,47.43,-92.94,73.4,56,75,4.29,US,1594577258
260,Vanavara,60.34,102.28,54.91,79,16,4.34,RU,1594577259
261,Scarborough,54.28,-0.4,66.99,64,81,1.99,GB,1594577259
262,Tigzirt,36.89,4.12,82.74,54,23,16.22,DZ,1594577259
263,Karacaköy,41.4,28.38,77.0,78,0,12.75,TR,1594577259
264,Atagay,55.1,99.39,55.99,86,1,1.39,RU,1594577259
265,Harper,4.38,-7.72,77.86,73,73,7.67,LR,1594576899
266,Kahului,20.89,-156.47,78.8,57,20,16.11,US,1594577157
267,Kodinsk,58.69,99.18,54.79,80,35,1.7,RU,1594577234
268,Key Biscayne,25.69,-80.16,90.0,59,90,14.99,US,1594577092
269,Jining,35.41,116.58,68.63,91,100,6.46,CN,1594577259
270,Bhuj,23.27,69.67,83.95,76,97,18.61,IN,1594577259
271,Westport,41.14,-73.36,87.01,54,40,13.87,US,1594576912
272,Āsosa,10.07,34.53,62.15,100,92,1.48,ET,1594577260
273,Inuvik,68.35,-133.72,55.4,62,75,5.82,CA,1594577260
274,Chifeng,42.27,118.96,69.69,59,97,3.33,CN,1594576815
275,Springfield,37.22,-93.3,84.99,42,1,16.11,US,1594576560
276,Orocué,4.79,-71.34,84.25,71,79,7.23,CO,1594577260
277,Del Rio,29.36,-100.9,96.8,44,1,11.41,US,1594577260
278,Nushki,29.55,66.02,82.83,15,0,5.14,PK,1594577260
279,Kalamata,37.04,22.11,82.0,61,20,2.17,GR,1594577260
280,Haines Junction,60.75,-137.51,57.92,54,92,5.44,CA,1594576822
281,Mier,26.43,-99.15,104.0,42,1,3.36,MX,1594577260
282,Kodīnar,20.79,70.7,83.46,81,4,15.3,IN,1594577260
283,Narsaq,60.92,-46.05,62.6,55,99,3.36,GL,1594576710
284,Bairiki Village,1.33,172.98,82.4,78,20,9.17,KI,1594577260
285,Okhotsk,59.38,143.3,57.76,72,6,3.06,RU,1594577146
286,Naantali,60.47,22.02,59.0,77,38,6.93,FI,1594577261
287,San Patricio,19.22,-104.7,89.6,70,40,6.93,MX,1594576705
288,Qaqortoq,60.72,-46.03,62.6,55,98,3.36,GL,1594576830
289,Eydhafushi,5.1,73.07,83.97,67,62,0.67,MV,1594577261
290,Quang Ngai,15.12,108.8,77.4,88,47,2.64,VN,1594577261
291,Fuzhou,26.06,119.31,80.6,88,99,4.47,CN,1594577151
292,Curillo,1.03,-75.92,91.85,46,1,1.34,CO,1594577261
293,Armeniş,45.2,22.32,57.0,83,94,9.22,RO,1594577261
294,Nizwá,22.93,57.53,90.14,44,93,8.46,OM,1594577261
295,Don Sak,9.32,99.69,80.24,79,100,10.07,TH,1594577261
296,Ténenkou,14.46,-4.92,98.8,27,5,6.53,ML,1594577261
297,Mahon,39.89,4.27,78.8,39,90,6.93,ES,1594577261
298,Marsá Maţrūḩ,31.35,27.25,77.0,78,40,12.75,EG,1594576816
299,Laguna,38.42,-121.42,89.01,20,5,3.36,US,1594577047
300,Nokia,61.47,23.5,55.4,93,99,5.82,FI,1594577262
301,Naze,28.37,129.48,82.4,88,40,6.93,JP,1594576862
302,Ullapool,57.9,-5.16,64.0,57,96,3.0,GB,1594577262
303,Ponta Delgada,37.73,-25.67,71.6,68,75,11.41,PT,1594577262
304,Forsytheganj,52.63,29.73,54.09,87,100,11.97,BY,1594577262
305,Shafter,35.5,-119.27,98.01,15,1,5.82,US,1594577262
306,Lac du Bonnet,50.25,-96.06,81.0,95,48,5.99,CA,1594577262
307,Deep River,46.1,-77.5,75.99,64,90,9.06,CA,1594577262
308,Ouallam,14.32,2.09,95.68,35,0,6.22,NE,1594577262
309,Ziniaré,12.58,-1.3,93.2,52,40,6.93,BF,1594577262
310,Kharitonovo,61.4,47.5,59.74,74,20,3.91,RU,1594577262
311,Skovorodino,53.98,123.92,68.77,60,2,2.26,RU,1594577262
312,Berdigestyakh,62.1,126.7,67.32,93,1,1.28,RU,1594577263
313,Skibbereen,51.55,-9.27,59.0,82,75,11.41,IE,1594577045
314,Doha,25.29,51.53,99.0,53,39,10.29,QA,1594576799
315,Giohar,2.78,45.5,76.84,82,70,13.8,SO,1594577263
316,Joppatowne,39.46,-76.36,89.01,55,40,10.29,US,1594577263
317,Goderich,43.75,-81.72,70.0,81,100,19.06,CA,1594577263
318,Wanning,18.8,110.4,81.64,89,2,8.77,CN,1594577263
319,Dryden,49.78,-92.75,71.6,53,1,2.33,CA,1594577263
320,Cartagena del Chairá,1.33,-74.84,92.14,47,31,1.23,CO,1594577263
321,Thinadhoo,0.53,72.93,85.01,70,55,8.43,MV,1594577263
322,Mingshui,36.72,117.5,70.0,85,100,6.31,CN,1594577263
323,Sujangarh,27.7,74.46,93.83,50,93,20.0,IN,1594577263
324,Sabla,12.75,4.71,94.42,39,43,2.28,NG,1594577263
325,Ovsyanka,55.96,92.55,53.6,93,33,0.69,RU,1594577263
326,Maniitsoq,65.42,-52.9,47.19,74,83,14.81,GL,1594577263
327,Mukhen,48.1,136.1,60.66,94,19,1.34,RU,1594577263
328,Ugoofaaru,5.67,73.0,83.97,68,99,1.83,MV,1594577263
329,Karpogory,64.0,44.45,54.0,76,42,5.46,RU,1594577264
330,Nyazepetrovsk,56.05,59.6,60.58,76,7,1.88,RU,1594577264
331,Clyde River,70.47,-68.59,46.4,87,40,11.41,CA,1594576801
332,Elizabethtown,37.69,-85.86,80.6,65,75,3.36,US,1594577264
333,Hambantota,6.12,81.12,81.43,78,87,18.48,LK,1594576859
334,Javānrūd,34.8,46.52,72.36,38,21,3.89,IR,1594577264
335,Nador,35.17,-2.93,78.8,83,90,4.7,MA,1594577196
336,Oak Ridge,36.01,-84.27,80.6,65,1,4.7,US,1594577264
337,Susurluk,39.91,28.16,79.0,53,0,13.87,TR,1594577264
338,Burgeo,47.62,-57.62,60.01,95,100,13.71,CA,1594577264
339,Shamsābād,27.02,78.13,87.8,70,75,5.82,IN,1594577265
340,Kumul,42.8,93.45,79.2,34,19,11.48,CN,1594576708
341,Nueva Gerona,21.88,-82.8,87.42,59,58,1.59,CU,1594577265
342,Høyanger,61.22,6.07,51.8,81,75,9.17,NO,1594577265
343,La Gomera,14.08,-91.05,89.6,59,40,11.41,GT,1594577265
344,Khvoynaya,58.9,34.53,55.06,94,98,5.53,RU,1594577265
345,Nishihara,26.18,127.76,84.2,83,20,6.93,JP,1594577064
346,Itoman,26.12,127.67,84.2,83,20,6.93,JP,1594577266
347,Kulhudhuffushi,6.62,73.07,83.89,69,93,3.78,MV,1594577097
348,Husavik,66.04,-17.34,57.2,71,40,9.17,IS,1594576831
349,Santa Catalina,9.33,122.86,78.55,82,99,0.76,PH,1594577266
350,Katsuura,35.13,140.3,68.0,94,75,14.99,JP,1594577266
351,Port Hawkesbury,45.62,-61.35,78.01,88,90,10.29,CA,1594577266
352,Abashiri,44.02,144.27,55.13,89,100,4.18,JP,1594577266
353,Lang Son,21.83,106.73,75.74,91,85,3.06,VN,1594577266
354,Anito,12.45,125.29,78.19,86,95,3.69,PH,1594577266
355,Wateringen,52.02,4.28,66.99,52,83,8.05,NL,1594577266
356,Dengzhou,37.81,120.75,69.53,93,100,21.74,CN,1594577267
357,Krasnyye Chetai,55.69,46.14,64.58,82,0,3.74,RU,1594577267
358,Hofn,64.25,-15.21,55.4,87,90,9.17,IS,1594576810
359,Kalach-na-Donu,48.69,43.53,87.8,29,40,24.61,RU,1594577267
360,Slave Lake,55.28,-114.77,60.8,67,40,20.8,CA,1594577004
361,Achinsk,56.27,90.5,55.38,84,2,3.65,RU,1594577267
362,Rangia,26.47,91.63,82.4,100,75,1.97,IN,1594577267
363,Pemangkat,1.17,108.97,76.73,89,89,5.61,ID,1594577267
364,Big Rapids,43.7,-85.48,77.0,50,40,10.29,US,1594577267
365,Aden,12.78,45.04,88.2,71,2,9.44,YE,1594577174
366,Mariehamn,60.1,19.93,57.2,82,95,3.36,AX,1594576793
367,Hirara,24.8,125.28,84.81,80,13,13.53,JP,1594577267
368,Jaumave,23.42,-99.38,96.8,30,5,12.75,MX,1594577267
369,Fairbanks,64.84,-147.72,61.0,62,90,2.26,US,1594576819
370,Mackenzie,55.3,-123.17,50.0,81,90,9.17,CA,1594577267
371,Virginia Beach,36.85,-75.98,93.0,55,75,5.82,US,1594576982
372,Udachny,66.42,112.4,55.4,71,47,6.71,RU,1594577268
373,Tilichiki,60.47,166.1,48.63,99,93,5.39,RU,1594577268
374,Coahuayana Viejo,18.73,-103.68,80.6,78,75,3.83,MX,1594577268
375,Tirumullaivāsal,11.23,79.83,84.52,72,86,11.12,IN,1594577268
376,Lesnoy,57.62,63.08,65.44,69,24,5.17,RU,1594577268
377,Galveston,29.37,-94.97,91.99,59,1,13.87,US,1594577268
378,Wamba,8.93,8.6,77.04,80,100,3.29,NG,1594577268
